file_line-number,"query word, option word",distance metric,similarity score
1,"('rusty', 'corroded')",C,0.23367585408113833
1,"('rusty', 'black')",C,0.17078207390620181
1,"('rusty', 'dirty')",C,0.1419811535995783
1,"('rusty', 'painted')",C,0.20033090217726257
2,"('brass', 'metal')",C,0.4623487180480963
2,"('brass', 'wood')",C,0.29694007900241326
2,"('brass', 'stone')",C,0.27039733451459425
2,"('brass', 'plastic')",C,0.33200307789389294
3,"('spin', 'twirl')",C,0.22455862650316349
3,"('spin', 'ache')",C,0.015599644348081698
3,"('spin', 'sweat')",C,0.044596381858008516
3,"('spin', 'flush')",C,0.077669146718554294
4,"('passage', 'hallway')",C,0.10770241313593676
4,"('passage', 'ticket')",C,0.18571111522956352
4,"('passage', 'entrance')",C,0.36849271141678175
4,"('passage', 'room')",C,0.17294132034532805
5,"('yield', 'submit')",C,0.1587972314207533
5,"('yield', 'challenge')",C,0.027596421833120832
5,"('yield', 'boast')",C,0.088605271160953514
5,"('yield', 'scorn')",C,0.075205471738257423
6,"('lean', 'rest')",C,0.22917061692680463
6,"('lean', 'scrape')",C,0.091094513533563015
6,"('lean', 'grate')",C,0.19048973037803463
6,"('lean', 'refer')",C,0.044148395779654903
7,"('barrel', 'cask')",C,0.23105676555385157
7,"('barrel', 'bottle')",C,0.29883135553010076
7,"('barrel', 'box')",C,0.18679525029287203
7,"('barrel', 'case')",C,0.075518542511082698
8,"('nuisance', 'pest')",C,0.38050151120268416
8,"('nuisance', 'garbage')",C,0.2237513076209241
8,"('nuisance', 'relief')",C,-0.05910462763209634
8,"('nuisance', 'troublesome')",C,0.28572977151110068
9,"('rug', 'carpet')",C,0.61614940936915563
9,"('rug', 'sofa')",C,0.44357565921020259
9,"('rug', 'ottoman')",C,0.13081994431112554
9,"('rug', 'hallway')",C,0.26144435246216791
10,"('tap', 'drain')",C,0.32365144104401056
10,"('tap', 'boil')",C,0.21619693219471858
10,"('tap', 'knock')",C,0.13798007721759142
10,"('tap', 'rap')",C,0.074897930220319542
11,"('split', 'divided')",C,0.66951847753789206
11,"('split', 'crushed')",C,0.20765853672037493
11,"('split', 'grated')",C,0.023929338050829196
11,"('split', 'bruised')",C,0.10673563189604074
12,"('lump', 'chunk')",C,0.37383134954869246
12,"('lump', 'stem')",C,0.049735160202850626
12,"('lump', 'trunk')",C,0.057979157852122154
12,"('lump', 'limb')",C,0.14618258582593568
13,"('outline', 'contour')",C,0.18572688277495697
13,"('outline', 'pair')",C,0.011610737039912666
13,"('outline', 'blend')",C,0.016466671606173877
13,"('outline', 'block')",C,0.15421497407798634
14,"('swear', 'vow')",C,0.4433894840127991
14,"('swear', 'explain')",C,0.20365328438673957
14,"('swear', 'think')",C,0.20156668932112054
14,"('swear', 'describe')",C,0.17585086048461729
15,"('relieved', 'rested')",C,0.26724618538094957
15,"('relieved', 'sleepy')",C,0.13633381637966169
15,"('relieved', 'tired')",C,0.39322188178713935
15,"('relieved', 'hasty')",C,0.058948061703586463
16,"('deserve', 'merit')",C,0.38190227421124789
16,"('deserve', 'need')",C,0.47930309254745207
16,"('deserve', 'want')",C,0.55767396373550659
16,"('deserve', 'expect')",C,0.47196351266295311
17,"('stiff', 'firm')",C,0.14519913886956748
17,"('stiff', 'dark')",C,0.24413241961681109
17,"('stiff', 'drunk')",C,0.18415566952468243
17,"('stiff', 'cooked')",C,0.10657587792918533
18,"('verse', 'section')",C,0.27014991170229807
18,"('verse', 'weed')",C,-0.088979213594376549
18,"('verse', 'twig')",C,-0.023726237363713265
18,"('verse', 'branch')",C,0.076547676173422396
19,"('steep', 'sheer')",C,0.2269483073908265
19,"('steep', 'bare')",C,0.2145497948781443
19,"('steep', 'rugged')",C,0.4093308544810832
19,"('steep', 'stone')",C,0.23728273790276866
20,"('paste', 'dough')",C,0.44701809705266771
20,"('paste', 'syrup')",C,0.41304651906982848
